date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:14:38	1746/1746	---M--	200	added ('OK')	image/png	etag:%22363a96c04fc4d31:0%22	http://store.deciem.com/CrossBar/images/sitelogos/STC.png	C:/Users/shahin/Desktop/428/DECIEM/store.deciem.com/CrossBar/images/sitelogos/STC.png	(from https://theordinary.com/)
01:14:38	1295/1295	---M--	200	added ('OK')	image/png	etag:%22b4e4c7c04fc4d31:0%22	http://store.deciem.com/CrossBar/images/other.png	C:/Users/shahin/Desktop/428/DECIEM/store.deciem.com/CrossBar/images/other.png	(from https://theordinary.com/)
01:14:39	1346/1346	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Apr%202018%2005:14:39%20GMT	https://theordinary.com/Images/logo.png	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/Images/logo.16.delayed	(from https://theordinary.com/)
01:14:39	23063/23063	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2011%20Nov%202017%2003:10:09%20GMT	https://theordinary.com/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZOg5fQ2rS1JLUw1W9pzjLVgYDaVnRBWLtBvLF4zPu2BteJ6_N03n9VJOqduFbugrvg2&t=636459486092264089	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/WebResource3c4a.js	(from https://theordinary.com/)
01:14:40	102804/102804	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2008%20Apr%202018%2005:00:04%20GMT	https://theordinary.com/ScriptResource.axd?d=NJmAwtEo3Ipnlaxl6CMhvkQL7PRGgQ0LEOk-YfLwhw4EwGzrXZbvnABVR6F_qYSwp2dcEi417sgVVaeU9KcYtnITcqcpFjNDlWqRW-9YQrXgwxUB6oNzKajuk4cto0WuLn2ApcgfwYBmQmE2X2oryb8-p4MhigvElOVs8JLLxZQ1&t=72fc8ae3	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/ScriptResource5204.js	(from https://theordinary.com/)
01:14:41	40329/40329	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2008%20Apr%202018%2005:00:04%20GMT	https://theordinary.com/ScriptResource.axd?d=dwY9oWetJoJoVpgL6Zq8OFmHSJKxgWX4-sBfhPcv79JEOKpKgIh4la51GQ7vF9pWy6_5-YrbTAwHsUmSutWp-14o70zFn6hm__WW-V-OTLjujecvImvGUEwVNrEY1yzgwL5a0gmsIUQea8jKUpVDzwKsw_U922pvYkblRt3jazs1&t=72fc8ae3	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/ScriptResource750f.js	(from https://theordinary.com/)
01:14:41	7780/7780	---M--	200	added ('OK')	image/svg+xml	etag:%222f34ad621e1d21:0%22	https://theordinary.com/Images/logo.svg	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/Images/logo.svg	(from https://theordinary.com/)
01:14:42	93038/93038	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:42%20GMT	https://theordinary.com/about	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/about.html	(from https://theordinary.com/)
01:14:43	93696/93696	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:43%20GMT	https://theordinary.com/faq	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/faq.html	(from https://theordinary.com/)
01:14:44	168833/168833	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:43%20GMT	https://theordinary.com/regimenguide	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/regimenguide.html	(from https://theordinary.com/)
01:14:45	101913/101913	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:44%20GMT	https://theordinary.com/vitcguide	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/vitcguide.html	(from https://theordinary.com/)
01:14:45	106237/106237	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:45%20GMT	https://theordinary.com/shadeguide	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/shadeguide.html	(from https://theordinary.com/)
01:14:46	109868/109868	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:46%20GMT	https://theordinary.com/product/rdn-granactive-retinoid-2pct-in-squalane-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-granactive-retinoid-2pct-in-squalane-30mld2f3.html	(from https://theordinary.com/)
01:14:48	109892/109892	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:47%20GMT	https://theordinary.com/product/rdn-granactive-retinoid-5pct-in-squalane-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-granactive-retinoid-5pct-in-squalane-30mld2f3.html	(from https://theordinary.com/)
